,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,decade
0,Jealous Kind Of Fella,Garland Green,0.417,0.62,3,-7.727,1,0.0403,0.49,0.0,0.0779,0.845,185.655,173533,3,32.94975,9,1,60
7,Happy Days,Marv Johnson,0.72,0.624,5,-9.086,0,0.0473,0.795,0.0,0.488,0.887,119.999,160040,4,30.42891,8,1,60
9,I Can Hear Music,The Beach Boys,0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1,60
11,Ride Away,Roy Orbison,0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1,60
13,P.T. 109,Jimmy Dean,0.746,0.666,2,-10.408,1,0.146,0.543,0.0,0.0488,0.84,94.024,192427,4,78.59848,5,1,60
14,Bye Bye Baby,Mary Wells,0.598,0.448,4,-14.978,0,0.0399,0.832,0.471,0.588,0.832,124.875,169133,4,57.17076,8,1,60
16,My Empty Arms,Jackie Wilson,0.356,0.45,6,-6.677,1,0.03,0.924,0.000206,0.128,0.313,74.4,172453,4,18.25243,13,1,60
19,Let The Good Times Roll,Shirley & Lee,0.502,0.445,1,-9.562,1,0.0688,0.481,0.0,0.0823,0.939,140.988,145653,4,18.90465,6,1,60
20,I'm Here To Get My Baby Out Of Jail,The Everly Brothers,0.48,0.225,3,-15.402,1,0.031,0.78,0.0,0.0877,0.58,128.017,217907,4,25.38117,13,1,60
21,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,0.604,0.357,6,-11.419,1,0.0269,0.0311,0.0,0.0927,0.638,100.721,185293,4,21.60974,9,1,60
25,Mother-In-Law,Ernie K-Doe,0.81,0.524,7,-9.77,0,0.0339,0.77,1.03e-05,0.161,0.949,130.214,153093,4,32.41693,8,1,60
26,Keep On Trying,Bobby Vee,0.498,0.527,5,-9.263,1,0.0298,0.0789,0.0,0.571,0.868,123.042,158267,4,31.82922,9,1,60
