,name,artist,decade,rank
0,The Twist,track,60,1
1,Hey Jude,The Beatles,60,2
2,Theme from “A Summer Place”,Percy Faith & His Orchestra,60,3
3,Tossin’ and Turnin’,Bobby Lewis,60,4
4,I Want to Hold Your Hand,The Beatles,60,5
5,I’m a Believer,The Monkees,60,6
6,Aquarius/Let the Sun Shine In,The Fifth Dimension,60,7
7,"Sugar, Sugar",The Archies,60,8
8,I Heard it Through the Grapevine,Marvin Gaye,60,9
9,Are You Lonesome Tonight,Elvis Presley,60,10
10,It’s Now or Never,Elvis Presley,60,11
11,I’m Sorry,Brenda Lee,60,13
12,Love Is Blue (L'amour Est Bleu),Paul Mauriat and His Orchestra,60,14
13,Hello Dolly!,Louis Armstrong,60,15
14,Big Girls Don’t Cry,The Four Seasons,60,16
15,Sugar Shack,Jimmy Gilmer and the Fireballs,60,17
16,Honky Tonk Woman ,The Rolling Stones,60,18
17,(Sittin’ On) The Dock of the Bay,Otis Redding,60,19
18,Big Bad John,Jimmy Dean,60,20
19,You Light Up My Life,Debbie Boone,70,1
20,Tonight’s The Night (Gonna Be Alright),Rod Stewart,70,2
21,Le Feak,Chic,70,3
22,How Deep is Your Love,Bee Gees,70,4
23,I Just Want to Be Your Everything,Andy Gibb,70,5
24,Silly Love Songs,Wings,70,6
25,Let’s Get it On,Marvin Gaye,70,7
26,Night Fever,Bee Gees,70,8
27,Tie a Yellow Ribbon Round the Ole Oak Tree,Dawn ft. Tony Orlando,70,9
28,Shadow Dancing,Andy Gibb,70,10
29,Stayin’ Alive,Bee Gees,70,11
30,Hot Stuff,Donna Summer,70,12
31,You’re So Vain,Carly Simon,70,13
32,Play That Funky Music,Wild Cherry,70,14
33,My Sharona,The Knack,70,15
34,Killing Me Softly With His Song,Roberta Flack,70,16
35,Best of My Love,The Emotions,70,17
36,The Way We Were,Barbra Streisand,70,18
37,A Fifth of Beethoven,Walter Murphy,70,19
38,I Will Survive,Gloria Gaynor,70,20
39,Physical,Olivia Newton-John,80,1
40,Bette Davis Eyes,Kim Carnes,80,2
41,Endless Love,Lionel Richie & Diana Ross,80,3
42,Eye Of The Tiger,Survivor,80,4
43,Every Breath You Take,The Police,80,5
44,Flashdance…What A Feeling,Irene Cara,80,6
45,Another One Bites the Dust,Queen,80,7
46,Say Say Say,Paul McCartney & Michael Jackson,80,8
47,Call Me,Blondie,80,9
48,Lady,Kenny Rogers,80,10
49,Centerfold,The J. Geils Band,80,11
50,(Just Like) Starting Over,John Lennon,80,12
51,I Love Rock ’N Roll,Joan Jett & The Blackhearts,80,13
52,Ebony & Ivory,Paul McCartney & Stevie Wonder,80,14
53,That’s What Friends Are For,Dionne Warwick,80,15
54,Upside Down,Diana Ross,80,16
55,Abracadabra,Steve Miller Band,80,17
56,Billie Jean,Michael Jackson,80,18
57,"Say You, Say Me",Lionel Richie,80,19
58,All Night Long (All Night),Lionel Richie,80,20
